PRODJUGE	O_GLO	O_TER	O_CAV	O_FF	FLET	RUG	RESI	CROQ	JUTE	FARI	MASTI	SUCR	ACID	I_ARO	FOND	ASTRI
e_JON1	5.6	0.2	0.1	4	0.1	0.1	6.9	5.4	6.7	0.9	3.4	2.4	1.6	1.5	7.6	1.3
f_JON1	3.9	0.1	0.1	0.2	0.1	0.4	4.2	1.7	7.5	6.2	2.7	7.3	0.3	2.9	8.3	3
g_JON1	4	0	0	1.2	0	0	7.1	6.1	5.8	1.7	6	6.7	2.8	7.2	6.1	0.4
h_JON1	6.1	1.6	2.3	0	0	0	6.3	6	7.1	4	1.8	9.7	1.3	2.4	9.5	0.1
i_JON1	2.4	0	0.1	2.1	0.1	0.1	9.8	0.9	4.6	3.7	2.8	8.1	0.5	4.7	7.6	0.5
j_JON1	3.2	0.1	0.1	3.3	0.2	0.2	5.1	4.1	7.9	4.1	3.3	5	0.2	4.1	6	1.6
k_JON1	0.1	0	0	0	0.1	0.2	5	4.6	5.6	0.8	5.8	1	0.1	0.5	5.3	0.1
l_JON1	6.6	0.6	3	0.5	0	1.1	4.7	3.5	7.8	3.3	6.4	6.2	6	5.1	8	4.7
m_JON1	2.8	0.1	1.7	0	0.1	1.7	7.7	1.8	5.5	3.9	3.2	4.9	2.7	3.5	6.4	0.6
a_JON2	6.8	0	0.1	2	0.2	0.1	8.3	3.9	8.5	2.9	6.5	8.5	0.2	2.8	8.4	0.2
b_JON2	2.2	1	3.6	2.5	0.2	0.7	6.5	2.8	5.2	0.8	1.7	2.9	2.8	2.7	5.9	2.8
c_JON2	9.3	0.1	0.9	1.9	0.1	0.1	7.6	1.8	5.7	4.3	2.5	8.2	1.3	8.4	9.6	2.3
d_JON2	6.8	0.1	0.1	1.5	0.1	0.1	2.9	2.3	7.2	2.2	2.7	6.1	1.4	7	7.2	1.8
e_JON2	6.5	0.1	0.1	6.6	0.1	0.1	6.1	6.6	7.6	1	1.8	2	1.9	1.4	8.1	1.1
f_JON2	7.1	0.2	0.1	3.9	0.2	0.3	6.9	4.5	8.4	0.8	4.4	7.9	0.9	6.5	5.3	4.7
g_JON2	2	0	0	1.3	0	0	4.7	2.1	7.6	3.8	2.3	7	3.6	4.5	7.8	1.7
h_JON2	6.7	0.3	2.4	0.5	0.1	0	7.5	4.7	5.4	5.9	1.5	8.5	0.3	6.6	9.5	0.2
i_JON2	2.1	0.1	0.1	2.1	0	0.1	9.8	4.6	3.8	1.8	2.5	6	0.4	3.6	8.4	0.5
j_JON2	3.4	3.4	0.2	0.1	0.2	0.2	6.4	3.2	7.9	0.1	5.2	8.2	0.8	6.7	8.2	1.9
k_JON2	2.5	0.1	0.2	0.3	0.1	0.1	8.1	4.4	6.8	0.1	5.1	1.8	0.4	0.4	8.5	0.9
l_JON2	7.5	2.5	4.2	0	0	1.9	5	3.9	7.9	4.2	4.3	5.8	5.4	4.5	6.3	6
m_JON2	3.4	1.7	3.2	0.1	0.2	0.6	9.5	3.2	9	4	3.8	4.8	5.2	5.4	7.2	2.3
