CSP;HOTEL;LOCAT;MAISON;PARENT;AMIS;CAMPING;VVF;DIVERS
AGRI;160;28;0;321;36;141;45;65
SALAG;35;34;1;178;8;0;4;0
PATR;700;354;229;959;185;292;119;140
CADSUP;961;471;633;1580;305;360;162;148
CADMOY;572;537;279;1689;206;748;155;112
EMPL;441;404;166;1079;178;434;178;92
OUVR;783;1114;387;4052;497;1464;525;387
SERV;65;43;21;294;79;57;18;6
AUTRE;77;60;189;839;53;124;28;53
NONACT;741;332;327;1789;311;236;102;102
