EX;QU;AC;SP;SU;AT;CT;BT;VT;BV;OV;CP;ACcd;SPcd;SUcd;ATcd;CTcd;BTcd;VTcd;BVcd;OVcd;CPcd
147;5;6,5;9,5;9,5;0;0;2;0;0;5;0;3;3;3;1;1;3;1;1;3;1
148;5;2;5,75;3;0;1;0;0;0;1;0;1;2;1;1;2;1;1;1;2;1
149;5;2;4,75;3,25;1;0;0;0;0;0;2;1;2;1;2;1;1;1;1;1;2
150;5;2,5;3;3;1;0;0;0;0;1;0;1;1;1;2;1;1;1;1;2;1
151;5;5,5;11;12;0;2;2;1;0;4;2;3;3;3;1;3;3;2;1;3;2
152;5;4;8;9;0;0;1;0;2;7;0;2;2;2;1;1;2;1;2;3;1
153;5;2;3;3,5;0;1;0;0;0;3;0;1;1;1;1;2;1;1;1;2;1
154;5;3,5;8,5;8,25;1;1;0;0;4;2;6;2;2;2;2;2;1;1;2;2;3
155;5;2;5;3,5;2;1;0;0;0;0;0;1;2;1;2;2;1;1;1;1;1
156;5;3;13;16,75;0;1;3;0;8;19;7;2;3;3;1;2;3;1;2;3;3
157;5;1,5;1;3;0;1;0;0;0;1;4;1;1;1;1;2;1;1;1;2;3
158;5;1,5;6;4,5;0;1;0;0;0;0;0;1;2;1;1;2;1;1;1;1;1
159;5;4;9;9,5;0;0;1;0;0;0;2;2;2;3;1;1;2;1;1;1;2
160;5;4;7;11;1;2;1;0;0;4;0;2;2;3;2;3;2;1;1;3;1
161;5;6;3;6;0;0;1;0;0;0;0;3;1;2;1;1;2;1;1;1;1
162;5;3,5;0;4;1;2;1;0;1;3;0;2;1;1;2;3;2;1;2;2;1
163;5;5;10,25;9;0;0;1;0;1;4;3;3;3;2;1;1;2;1;2;3;2
164;5;4,5;5;5,75;0;1;0;0;0;2;1;2;2;2;1;2;1;1;1;2;2
165;5;13;27,5;27,5;0;2;4;1;10;8;3;3;3;3;1;3;3;2;2;3;2
166;5;4;10,5;9,25;0;3;0;0;0;3;0;2;3;3;1;3;1;1;1;2;1
